Rule_ID,Category,Business_Rule_Plain_English,Primary_IRS_Authority,source_file
BR-0013,DEDUCTIONS: STANDARD,"If the taxpayer is a dual-status alien for the year, set the standard deduction to zero.",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0014,DEDUCTIONS: STANDARD,"Use the standard deduction amounts embedded in the 2025 Form 1040 instructions (Single/MFS $15,750; MFJ $31,500; HOH $23,625) unless an exception applies.",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0015,DEDUCTIONS: STANDARD,"If the taxpayer (or spouse) is born before January 2, 1961, increase the standard deduction using the age/blindness boxes and the standard deduction chart.",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0016,DEDUCTIONS: STANDARD,"If the taxpayer is blind, increase the standard deduction using the chart/worksheet; if both age 65+ and blind, apply both increments as allowed by the worksheet logic.",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0017,DEDUCTIONS: STANDARD,"If the taxpayer has a net qualified disaster loss and elects the increased standard deduction, apply the disaster-loss add-on logic as defined in the instructions.",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0018,DEDUCTIONS: STANDARD,"When computing dependent standard deduction, treat earned income as wages/salaries/tips and taxable scholarships (per worksheet definition) and follow the worksheet min/max constraints.",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0019,DEDUCTIONS: STANDARD,Prevent simultaneous use of the dependent worksheet and the age/blind chart when the instructions require the dependent worksheet instead.,Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0020,DEDUCTIONS: STANDARD,"Record which exception caused a nonstandard standard-deduction outcome (dependent, spouse itemizes, dual-status, age/blindness, disaster).",Instructions for Form 1040 (2025) – Standard Deduction section and worksheets; Topic No. 551 – Standard deduction,us_individual_tax_business_rules_1000_2025.csv
BR-0021,CREDITS: EITC/CTC/EDU,Do not allow EIC unless the taxpayer has earned income and meets all eligibility rules summarized in Pub. 596.,Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0022,CREDITS: EITC/CTC/EDU,Reject EIC when filing status is married filing separately unless a specific statutory exception is met and supported by Pub. 596 rules.,Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0023,CREDITS: EITC/CTC/EDU,"Require either a qualifying child test pass or the ‘no qualifying child’ rules to be satisfied (age, residency, and other conditions) before calculating EIC.",Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0024,CREDITS: EITC/CTC/EDU,Validate qualifying child relationship test (child must be related in an allowed way) before treating them as a qualifying child for EIC.,Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0025,CREDITS: EITC/CTC/EDU,Validate qualifying child age test (child must meet age criteria) before treating them as a qualifying child for EIC.,Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0026,CREDITS: EITC/CTC/EDU,Validate qualifying child residency test (child lived with taxpayer in the U.S. for the required period) before treating them as a qualifying child for EIC.,Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0027,CREDITS: EITC/CTC/EDU,"Disallow EIC if the taxpayer (or spouse, if filing jointly) does not have a valid SSN when required by Pub. 596.",Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0028,CREDITS: EITC/CTC/EDU,"Apply investment income limitation logic as required by Pub. 596; if exceeded, disallow EIC.",Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0029,CREDITS: EITC/CTC/EDU,Support the option to use prior-year earned income for EIC only if the law/instructions for the year allow it and required conditions are met (store election flags).,Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0030,CREDITS: EITC/CTC/EDU,"Create a substantiation checklist for EIC (SSNs, school/medical records, lease, etc.) because EIC is audit-prone; surface recordkeeping requirements from Pub. 596.",Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0031,ADJUSTMENTS (SCH 1),"Do not allow total IRA contributions above the annual limit for 2025: $7,000, or $8,000 if age 50 or older (Pub. 590‑A draft for 2025).",Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0032,ADJUSTMENTS (SCH 1),"Treat contributions as belonging to a tax year only when designated properly; otherwise default to the tax year in which paid, per IRA contribution rules.",Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0033,ADJUSTMENTS (SCH 1),"Require earned compensation for IRA contribution eligibility, except in cases allowed by law (e.g., spousal IRA on a joint return).",Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0034,ADJUSTMENTS (SCH 1),Flag potential Roth IRA contribution phaseout based on modified AGI; require modified AGI computation when Roth contributions exist.,Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0035,ADJUSTMENTS (SCH 1),Flag potential traditional IRA deduction limitations when taxpayer or spouse is covered by a retirement plan at work; require coverage indicator.,Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0036,ADJUSTMENTS (SCH 1),"Track recharacterizations and conversions separately from regular contributions, and apply reporting requirements.",Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0037,ADJUSTMENTS (SCH 1),Validate rollovers: treat timely trustee-to-trustee transfers as non-taxable rollovers; require rollover coding on 1099-R input.,Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0038,ADJUSTMENTS (SCH 1),Disallow deduction for excess contributions unless corrected as allowed; calculate excise tax flags when excess remains.,Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0039,ADJUSTMENTS (SCH 1),"Require beneficiary and required minimum distribution (RMD) indicators for post‑retirement distributions (handled under Pub. 590‑B, not fully enumerated here).",Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0040,ADJUSTMENTS (SCH 1),Generate Form 8606 triggers when nondeductible contributions or Roth conversions are present.,Publication 17 (2025) – adjustments overview; Publication 590-A (2025 draft) – IRA contribution & eligibility basics,us_individual_tax_business_rules_1000_2025.csv
BR-0041,INCOME: BUSINESS (SCH C),"Allow deduction of travel expenses only when ordinary, necessary, and incurred while traveling away from the taxpayer’s tax home for business (Pub. 463).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0042,INCOME: BUSINESS (SCH C),"Require contemporaneous substantiation for travel, meals, gifts, and listed property as applicable (Pub. 463 recordkeeping).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0043,INCOME: BUSINESS (SCH C),Disallow commuting costs between home and regular work location as business mileage; treat it as personal commuting.,Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0044,INCOME: BUSINESS (SCH C),"If standard mileage method is used, prevent simultaneous depreciation deductions that are not allowed under that method (apply method consistency checks).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0045,INCOME: BUSINESS (SCH C),Require business vs personal use percentage for vehicles; allocate expenses accordingly.,Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0046,INCOME: BUSINESS (SCH C),Flag passenger automobile depreciation limitations and apply luxury-auto limits for vehicles placed in service in 2025 (Pub. 463 draft references limits).,Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0047,INCOME: BUSINESS (SCH C),"Validate Section 179 election eligibility and enforce the 2025 maximum election cap ($2,500,000) for qualifying property (Pub. 463 draft).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0048,INCOME: BUSINESS (SCH C),Require date placed in service and business use >50% tests where needed for certain accelerated depreciation/179 treatments.,Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0049,INCOME: BUSINESS (SCH C),Require receipts for lodging and other expenses over substantiation thresholds; store receipt status and image links for audit defense.,Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0050,INCOME: BUSINESS (SCH C),Disallow deductions for expenses that were reimbursed under an accountable plan when reimbursement was excluded from income (avoid double benefit).,Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0051,INCOME: WAGES/COMP,Treat all income items as taxable by default unless explicitly identified as excludable under the Code/IRS guidance (store exclusion authority).,Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0052,INCOME: WAGES/COMP,"Separate tax‑exempt interest from taxable interest and ensure tax‑exempt interest still flows into computations where it affects other rules (e.g., some credits).",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0053,INCOME: WAGES/COMP,"Separate qualified dividends from ordinary dividends; if qualified dividends exist, route to the qualified dividends and capital gain tax worksheet logic.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0054,INCOME: WAGES/COMP,"If Schedule D is required, compute net capital gain/loss with proper short‑term/long‑term netting and carryover flags.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0055,INCOME: WAGES/COMP,Apply loss limitation workflows: flag capital loss limitation and carryover generation for unused losses.,Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0056,INCOME: WAGES/COMP,Ensure each 1099 form is mapped to the correct income line and withholding bucket; reconcile payer EIN/name for duplicate detection.,Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0057,INCOME: WAGES/COMP,Treat Social Security benefits as potentially taxable; compute taxable portion using the applicable worksheet when benefits are present.,Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0058,INCOME: WAGES/COMP,Treat retirement distributions (1099‑R) as taxable unless a rollover/exclusion code applies; require distribution code mapping.,Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0059,INCOME: WAGES/COMP,Treat scholarships as taxable unless they meet qualified scholarship exclusion rules; separate amounts used for tuition/required fees vs other costs.,Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0060,INCOME: WAGES/COMP,Require state tax refund input only when the taxpayer itemized in the prior year; otherwise default to non-taxable (tax benefit rule flag).,Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0061,OTHER TAXES,Compute self‑employment (SE) tax when net earnings from self-employment exist; also compute the deductible half as an adjustment.,Instructions for Form 1040 (2025) – schedule 2/other taxes guide,us_individual_tax_business_rules_1000_2025.csv
BR-0062,OTHER TAXES,Trigger additional tax workflows for early distributions from retirement accounts when applicable codes/ages indicate penalties may apply.,Instructions for Form 1040 (2025) – schedule 2/other taxes guide,us_individual_tax_business_rules_1000_2025.csv
BR-0063,OTHER TAXES,Trigger household employment tax workflow when taxpayer paid household employees above filing thresholds and owes FICA/FUTA.,Instructions for Form 1040 (2025) – schedule 2/other taxes guide,us_individual_tax_business_rules_1000_2025.csv
BR-0064,OTHER TAXES,Trigger net investment income tax (NIIT) and alternative minimum tax (AMT) assessment as a ‘flag-and-route’ based on income types and thresholds (requires separate modules).,Instructions for Form 1040 (2025) – schedule 2/other taxes guide,us_individual_tax_business_rules_1000_2025.csv
BR-0065,OTHER TAXES,"Compute repayment/recapture taxes (e.g., premium tax credit reconciliation) when forms indicate advance credits were received.",Instructions for Form 1040 (2025) – schedule 2/other taxes guide,us_individual_tax_business_rules_1000_2025.csv
BR-0066,OTHER TAXES,Apply underpayment penalty assessment when estimated tax/withholding is insufficient relative to required annual payment safe harbors (Pub. 505).,Instructions for Form 1040 (2025) – schedule 2/other taxes guide,us_individual_tax_business_rules_1000_2025.csv
BR-0067,OTHER TAXES,Compute interest and late filing/late payment penalties when filing/payment occurs after due date and no exception applies.,Instructions for Form 1040 (2025) – schedule 2/other taxes guide,us_individual_tax_business_rules_1000_2025.csv
BR-0068,OTHER TAXES,Apply refundable credit limitations and due diligence checks for preparers (EITC/CTC/AOTC) as compliance controls.,Instructions for Form 1040 (2025) – schedule 2/other taxes guide,us_individual_tax_business_rules_1000_2025.csv
BR-0069,FILING REQUIREMENTS,"Validate filing status 'single' by checking year-end marital status and household facts; if inconsistent, block filing until corrected.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0070,FILING REQUIREMENTS,"When filing status is 'single', ensure dependent and credit eligibility tests use the rules tied to that status (store status at computation time, not just at intake).",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0071,FILING REQUIREMENTS,"Validate filing status 'married filing jointly' by checking year-end marital status and household facts; if inconsistent, block filing until corrected.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0072,FILING REQUIREMENTS,"When filing status is 'married filing jointly', ensure dependent and credit eligibility tests use the rules tied to that status (store status at computation time, not just at intake).",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0073,FILING REQUIREMENTS,"Validate filing status 'married filing separately' by checking year-end marital status and household facts; if inconsistent, block filing until corrected.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0074,FILING REQUIREMENTS,"When filing status is 'married filing separately', ensure dependent and credit eligibility tests use the rules tied to that status (store status at computation time, not just at intake).",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0075,FILING REQUIREMENTS,"Validate filing status 'head of household' by checking year-end marital status and household facts; if inconsistent, block filing until corrected.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0076,FILING REQUIREMENTS,"When filing status is 'head of household', ensure dependent and credit eligibility tests use the rules tied to that status (store status at computation time, not just at intake).",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0077,FILING REQUIREMENTS,"Validate filing status 'qualifying surviving spouse' by checking year-end marital status and household facts; if inconsistent, block filing until corrected.",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0078,FILING REQUIREMENTS,"When filing status is 'qualifying surviving spouse', ensure dependent and credit eligibility tests use the rules tied to that status (store status at computation time, not just at intake).",Instructions for Form 1040 (2025) (i1040gi.pdf) – filing forms and due date; Publication 17 (2025) – general filing rules,us_individual_tax_business_rules_1000_2025.csv
BR-0079,INCOME: BUSINESS (SCH C),"For a sole proprietor, require gross receipts evidence (1099-NEC/K, invoices, platform statements) and reconcile totals to inputs to reduce underreporting risk.",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0080,INCOME: BUSINESS (SCH C),"For a sole proprietor, separate expenses into 'ordinary and necessary' categories and require a short business purpose note for each high-risk expense class (travel/meals/vehicle).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0081,INCOME: BUSINESS (SCH C),"For a independent contractor, require gross receipts evidence (1099-NEC/K, invoices, platform statements) and reconcile totals to inputs to reduce underreporting risk.",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0082,INCOME: BUSINESS (SCH C),"For a independent contractor, separate expenses into 'ordinary and necessary' categories and require a short business purpose note for each high-risk expense class (travel/meals/vehicle).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0083,INCOME: BUSINESS (SCH C),"For a gig worker, require gross receipts evidence (1099-NEC/K, invoices, platform statements) and reconcile totals to inputs to reduce underreporting risk.",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0084,INCOME: BUSINESS (SCH C),"For a gig worker, separate expenses into 'ordinary and necessary' categories and require a short business purpose note for each high-risk expense class (travel/meals/vehicle).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0085,INCOME: BUSINESS (SCH C),"For a consultant, require gross receipts evidence (1099-NEC/K, invoices, platform statements) and reconcile totals to inputs to reduce underreporting risk.",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0086,INCOME: BUSINESS (SCH C),"For a consultant, separate expenses into 'ordinary and necessary' categories and require a short business purpose note for each high-risk expense class (travel/meals/vehicle).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0087,INCOME: BUSINESS (SCH C),"For a online seller, require gross receipts evidence (1099-NEC/K, invoices, platform statements) and reconcile totals to inputs to reduce underreporting risk.",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0088,INCOME: BUSINESS (SCH C),"For a online seller, separate expenses into 'ordinary and necessary' categories and require a short business purpose note for each high-risk expense class (travel/meals/vehicle).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0089,INCOME: BUSINESS (SCH C),"For a creator, require gross receipts evidence (1099-NEC/K, invoices, platform statements) and reconcile totals to inputs to reduce underreporting risk.",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0090,INCOME: BUSINESS (SCH C),"For a creator, separate expenses into 'ordinary and necessary' categories and require a short business purpose note for each high-risk expense class (travel/meals/vehicle).",Publication 17 (2025) – business income overview; Publication 463 (2025 draft) – travel/vehicle substantiation and limits,us_individual_tax_business_rules_1000_2025.csv
BR-0091,INCOME: WAGES/COMP,"For income labeled 'W-2 wages', map it to the correct Form 1040 line and preserve payer/source metadata for matching notices.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0092,INCOME: WAGES/COMP,"For income labeled 'W-2 wages', if it has withholding, ensure withholding is captured as a payment and not netted against income.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0093,INCOME: WAGES/COMP,"For income labeled 'tips', map it to the correct Form 1040 line and preserve payer/source metadata for matching notices.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0094,INCOME: WAGES/COMP,"For income labeled 'tips', if it has withholding, ensure withholding is captured as a payment and not netted against income.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0095,INCOME: WAGES/COMP,"For income labeled 'taxable fringe benefits', map it to the correct Form 1040 line and preserve payer/source metadata for matching notices.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0096,INCOME: WAGES/COMP,"For income labeled 'taxable fringe benefits', if it has withholding, ensure withholding is captured as a payment and not netted against income.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0097,INCOME: WAGES/COMP,"For income labeled 'taxable scholarships', map it to the correct Form 1040 line and preserve payer/source metadata for matching notices.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0098,INCOME: WAGES/COMP,"For income labeled 'taxable scholarships', if it has withholding, ensure withholding is captured as a payment and not netted against income.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0099,INCOME: WAGES/COMP,"For income labeled 'combat pay election', map it to the correct Form 1040 line and preserve payer/source metadata for matching notices.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0100,INCOME: WAGES/COMP,"For income labeled 'combat pay election', if it has withholding, ensure withholding is captured as a payment and not netted against income.",Publication 17 (2025) – general rules,us_individual_tax_business_rules_1000_2025.csv
BR-0101,CREDITS: EITC/CTC/EDU,"When calculating EIC for the scenario '0 qualifying children', validate the qualifying-child roster and prevent duplicate use of the same child on multiple returns unless tie-breaker rules resolve it (Pub. 596).",Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0102,CREDITS: EITC/CTC/EDU,"When calculating EIC for the scenario '0 qualifying children', require an earned income confirmation step and store the exact earned-income inputs used for audit support (Pub. 596).",Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0103,CREDITS: EITC/CTC/EDU,"When calculating EIC for the scenario '1 qualifying child', validate the qualifying-child roster and prevent duplicate use of the same child on multiple returns unless tie-breaker rules resolve it (Pub. 596).",Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
BR-0104,CREDITS: EITC/CTC/EDU,"When calculating EIC for the scenario '1 qualifying child', require an earned income confirmation step and store the exact earned-income inputs used for audit support (Pub. 596).",Publication 596 (2025) – Earned Income Credit rules; Instructions for Form 1040 (2025) – credits & schedules references; Publication 970 – education benefits overview,us_individual_tax_business_rules_1000_2025.csv
